Sept. 10, 2025   18:46:05
A.C. Impedance
File: small device 2 ch 4 eis day 0.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.05
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.626e+2, -4.177e+3, 4.202e+3, -83.7
8.252e+4, 4.226e+2, -5.010e+3, 5.028e+3, -85.2
6.812e+4, 3.390e+2, -6.017e+3, 6.027e+3, -86.8
5.625e+4, 1.621e+2, -7.294e+3, 7.296e+3, -88.7
4.644e+4, -1.231e+2, -8.899e+3, 8.900e+3, -90.8
3.833e+4, -5.679e+2, -1.097e+4, 1.099e+4, -93.0
3.164e+4, -1.200e+3, -1.366e+4, 1.372e+4, -95.0
2.612e+4, -2.045e+3, -1.718e+4, 1.730e+4, -96.8
2.153e+4, -3.099e+3, -2.178e+4, 2.200e+4, -98.1
1.777e+4, -4.307e+3, -2.773e+4, 2.806e+4, -98.8
1.470e+4, -5.539e+3, -3.542e+4, 3.585e+4, -98.9
1.211e+4, -6.578e+3, -4.524e+4, 4.571e+4, -98.3
1.001e+4, -6.002e+3, -5.625e+4, 5.657e+4, -96.1
8.252e+3, -4.051e+3, -6.954e+4, 6.965e+4, -93.3
6.812e+3, -1.621e+3, -8.682e+4, 8.683e+4, -91.1
5.625e+3, 2.072e+3, -1.079e+5, 1.079e+5, -88.9
4.643e+3, 7.695e+3, -1.326e+5, 1.328e+5, -86.7
3.833e+3, 1.586e+4, -1.605e+5, 1.612e+5, -84.4
3.164e+3, 2.674e+4, -1.916e+5, 1.935e+5, -82.1
2.612e+3, 4.048e+4, -2.265e+5, 2.300e+5, -79.9
2.153e+3, 5.709e+4, -2.655e+5, 2.716e+5, -77.9
1.777e+3, 7.658e+4, -3.095e+5, 3.188e+5, -76.1
1.470e+3, 9.904e+4, -3.599e+5, 3.733e+5, -74.6
1.211e+3, 1.249e+5, -4.178e+5, 4.361e+5, -73.4
1.001e+3, 1.584e+5, -4.837e+5, 5.090e+5, -71.9
8.252e+2, 1.992e+5, -5.588e+5, 5.933e+5, -70.4
