  TIME      Strain    Stress
  0.000000E+00    0.000000E+00    0.000000E+00
  0.100000E-01    0.500000E-02    0.449427E-02
  0.210000E+00    0.105000E+00    0.899706E-01
  0.410000E+00    0.205000E+00    0.168037E+00
  0.610000E+00    0.305000E+00    0.239876E+00
  0.810000E+00    0.405000E+00    0.306408E+00
  0.101000E+01    0.505000E+00    0.368363E+00
  0.120000E+01    0.600000E+00    0.423520E+00
  0.140000E+01    0.700000E+00    0.478149E+00
  0.160000E+01    0.800000E+00    0.529655E+00
  0.180000E+01    0.900000E+00    0.578375E+00
  0.200000E+01    0.100000E+01    0.624595E+00
