Strain     Stress
0.0       0.00000000E+00
0.1       4.66885641E-02
0.2       9.01111066E-02
0.3       1.31262884E-01
0.4       1.70928702E-01
0.5       2.09737137E-01
0.6       2.48199150E-01
0.7       2.86735982E-01
0.8       3.25699568E-01
0.9       3.65387589E-01
1.0       4.06054884E-01
1.1       4.47921991E-01
1.2       4.91181552E-01
1.3       5.36003470E-01
1.4       5.82538843E-01
1.5       6.30922854E-01
1.6       6.81277275E-01
1.7       7.33712256E-01
1.8       7.88327932E-01
1.9       8.45215678E-01
2.0       9.04459000E-01
