Strain     Stress (MPa)
0.0        0.00000000E+00
0.05       4.66885641E-02
0.1        9.01111066E-02
0.15       1.31262884E-01
0.2        1.70928702E-01
0.25       2.09737137E-01
0.3        2.48199150E-01
0.35       2.86735982E-01
0.4        3.25699568E-01
0.45       3.65387589E-01
0.5        4.06054884E-01
0.55       4.47921991E-01
0.6        4.91181552E-01
0.65       5.36003470E-01
0.7        5.82538843E-01
0.75       6.30922854E-01
0.8        6.81277275E-01
0.85       7.33712256E-01
0.9        7.88327932E-01
0.95       8.45215678E-01
1.0        9.04459000E-01
