TargetTime     Strain          Stress
0.0             0.00000000           0.00000000E+00
 0.10          0.01000000           8.78370203E+00
 0.20          0.02000000           2.02438299E+01
 0.30          0.03000000           3.17039579E+01
 0.40          0.04000000           4.31640858E+01
 0.50          0.05000000           5.46242137E+01
 0.60          0.06000000           6.60843416E+01
 0.70          0.07000000           7.75444695E+01
 0.80          0.08000000           8.90045974E+01
 0.90          0.09000000           1.00464725E+02
 1.00          0.10000000           1.11924853E+02
