TargetTime     Strain        Stress
0.0             0.00000000           0.00000000E+00
 0.10          0.01000000           1.44531113E+01
 0.20          0.02000000           2.54843833E+01
 0.30          0.03000000           3.65156554E+01
 0.40          0.04000000           4.75469275E+01
 0.50          0.05000000           5.85781996E+01
 0.60          0.06000000           6.96094716E+01
 0.70          0.07000000           8.06407437E+01
 0.80          0.08000000           9.16720158E+01
 0.90          0.09000000           1.02703288E+02
 1.00          0.10000000           1.13734560E+02
