Nov. 15, 2025   17:19:18
A.C. Impedance
File: small device 2 ch 2 eis day x.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.05
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, -3.637e+2, -4.365e+3, 4.380e+3, -94.8
8.252e+4, -6.621e+2, -5.415e+3, 5.455e+3, -97.0
6.812e+4, -1.075e+3, -6.763e+3, 6.848e+3, -99.0
5.625e+4, -1.625e+3, -8.548e+3, 8.701e+3, -100.8
4.644e+4, -2.304e+3, -1.085e+4, 1.109e+4, -102.0
3.833e+4, -3.104e+3, -1.389e+4, 1.423e+4, -102.6
3.164e+4, -3.952e+3, -1.784e+4, 1.828e+4, -102.5
2.612e+4, -4.726e+3, -2.299e+4, 2.347e+4, -101.6
2.153e+4, -5.194e+3, -2.958e+4, 3.003e+4, -100.0
1.777e+4, -5.037e+3, -3.778e+4, 3.812e+4, -97.6
1.470e+4, -3.861e+3, -4.776e+4, 4.792e+4, -94.6
1.211e+4, -1.181e+3, -5.946e+4, 5.947e+4, -91.1
1.001e+4, 3.806e+3, -7.261e+4, 7.271e+4, -87.0
8.252e+3, 1.124e+4, -8.700e+4, 8.773e+4, -82.6
6.812e+3, 2.083e+4, -1.023e+5, 1.044e+5, -78.5
5.625e+3, 3.250e+4, -1.182e+5, 1.226e+5, -74.6
4.643e+3, 4.608e+4, -1.343e+5, 1.420e+5, -71.1
3.833e+3, 6.140e+4, -1.508e+5, 1.628e+5, -67.8
3.164e+3, 7.822e+4, -1.677e+5, 1.850e+5, -65.0
2.612e+3, 9.649e+4, -1.854e+5, 2.090e+5, -62.5
2.153e+3, 1.161e+5, -2.042e+5, 2.349e+5, -60.4
1.777e+3, 1.370e+5, -2.244e+5, 2.630e+5, -58.6
1.470e+3, 1.593e+5, -2.470e+5, 2.939e+5, -57.2
1.211e+3, 1.833e+5, -2.721e+5, 3.281e+5, -56.0
1.001e+3, 2.111e+5, -2.990e+5, 3.660e+5, -54.8
8.252e+2, 2.421e+5, -3.284e+5, 4.080e+5, -53.6
6.836e+2, 2.745e+5, -3.628e+5, 4.549e+5, -52.9
5.615e+2, 3.088e+5, -4.029e+5, 5.076e+5, -52.5
4.639e+2, 3.461e+5, -4.492e+5, 5.671e+5, -52.4
3.809e+2, 3.872e+5, -5.014e+5, 6.335e+5, -52.3
3.174e+2, 4.339e+5, -5.607e+5, 7.090e+5, -52.3
2.588e+2, 4.874e+5, -6.278e+5, 7.948e+5, -52.2
2.148e+2, 5.494e+5, -7.036e+5, 8.927e+5, -52.0
1.758e+2, 6.208e+5, -7.876e+5, 1.003e+6, -51.8
1.465e+2, 7.013e+5, -8.774e+5, 1.123e+6, -51.4
1.221e+2, 8.005e+5, -9.782e+5, 1.264e+6, -50.7
9.766e+1, 9.165e+5, -1.086e+6, 1.421e+6, -49.8
8.254e+1, 1.046e+6, -1.196e+6, 1.589e+6, -48.8
6.812e+1, 1.193e+6, -1.311e+6, 1.773e+6, -47.7
5.625e+1, 1.358e+6, -1.428e+6, 1.971e+6, -46.4
4.642e+1, 1.541e+6, -1.545e+6, 2.182e+6, -45.1
3.831e+1, 1.743e+6, -1.659e+6, 2.407e+6, -43.6
3.162e+1, 1.962e+6, -1.771e+6, 2.643e+6, -42.1
2.609e+1, 2.196e+6, -1.879e+6, 2.890e+6, -40.6
2.154e+1, 2.443e+6, -1.983e+6, 3.146e+6, -39.1
1.778e+1, 2.702e+6, -2.082e+6, 3.411e+6, -37.6
1.468e+1, 2.972e+6, -2.178e+6, 3.685e+6, -36.2
1.212e+1, 3.259e+6, -2.270e+6, 3.971e+6, -34.9
1.000e+1, 3.552e+6, -2.350e+6, 4.259e+6, -33.5
8.257e+0, 3.850e+6, -2.424e+6, 4.549e+6, -32.2
6.818e+0, 4.166e+6, -2.506e+6, 4.861e+6, -31.0
5.625e+0, 4.465e+6, -2.584e+6, 5.159e+6, -30.1
5.000e+0, 4.803e+6, -2.667e+6, 5.494e+6, -29.0
3.750e+0, 5.219e+6, -2.760e+6, 5.903e+6, -27.9
3.000e+0, 5.640e+6, -2.845e+6, 6.317e+6, -26.8
2.500e+0, 6.020e+6, -2.913e+6, 6.688e+6, -25.8
2.143e+0, 6.352e+6, -2.968e+6, 7.011e+6, -25.0
1.875e+0, 6.692e+6, -3.019e+6, 7.341e+6, -24.3
1.500e+0, 7.052e+6, -3.068e+6, 7.690e+6, -23.5
1.250e+0, 7.485e+6, -3.118e+6, 8.108e+6, -22.6
1.000e+0, 8.018e+6, -3.090e+6, 8.593e+6, -21.1
8.333e-1, 8.522e+6, -3.023e+6, 9.043e+6, -19.5
6.818e-1, 8.942e+6, -3.026e+6, 9.440e+6, -18.7
5.556e-1, 9.289e+6, -3.087e+6, 9.788e+6, -18.4
4.687e-1, 9.602e+6, -3.195e+6, 1.012e+7, -18.4
3.846e-1, 9.922e+6, -3.326e+6, 1.046e+7, -18.5
3.191e-1, 1.026e+7, -3.475e+6, 1.083e+7, -18.7
2.632e-1, 1.062e+7, -3.649e+6, 1.123e+7, -19.0
2.143e-1, 1.100e+7, -3.849e+6, 1.165e+7, -19.3
1.786e-1, 1.138e+7, -4.076e+6, 1.209e+7, -19.7
1.471e-1, 1.178e+7, -4.342e+6, 1.255e+7, -20.2
1.210e-1, 1.219e+7, -4.649e+6, 1.305e+7, -20.9
1.000e-1, 1.264e+7, -4.994e+6, 1.359e+7, -21.6
